product_id,product_title,variant_id,old_price,new_price,old_compare_at,new_compare_at
gid://shopify/Product/8537233654070,PHARMA GERMANIA - Wormwood Cut - 100g,gid://shopify/ProductVariant/45989800313142,66.32,66.00,,
gid://shopify/Product/8537236341046,PHARMA GERMANIA - Yarrow - 100g,gid://shopify/ProductVariant/45989811749174,90.67,90.00,,
gid://shopify/Product/8537238372662,PHARMA GERMANIA - Yellow Dock  - 75g,gid://shopify/ProductVariant/45989818335542,64.48,64.00,,
gid://shopify/Product/8537239290166,PHARMA GERMANIA - Agrimony Herb Cut - 75g,gid://shopify/ProductVariant/45989820825910,63.82,63.00,,
gid://shopify/Product/8537241387318,PHARMA GERMANIA - Barberry Bark Crushed - 75g,gid://shopify/ProductVariant/45989831115062,117.76,117.00,,
gid://shopify/Product/8537252790582,PHARMA GERMANIA - Couchgrass Herb - 100g,gid://shopify/ProductVariant/45989872992566,87.11,87.00,,
gid://shopify/Product/8537255444790,PHARMA GERMANIA - Cowslip - 75g,gid://shopify/ProductVariant/45989883150646,205.15,205.00,,
gid://shopify/Product/8537256984886,PHARMA GERMANIA - Frangula Bark - 100g,gid://shopify/ProductVariant/45989889311030,86.94,86.00,,
gid://shopify/Product/8537258492214,PHARMA GERMANIA - Golden Rod - 100g,gid://shopify/ProductVariant/45989896421686,72.68,72.00,,
gid://shopify/Product/8537262096694,PHARMA GERMANIA - Henna Alkaner - 100g,gid://shopify/ProductVariant/45989916606774,63.82,63.00,,
gid://shopify/Product/8537263243574,PHARMA GERMANIA - Hydrocotyle-Gotu Kola-Pennywort - 75g,gid://shopify/ProductVariant/45989923094838,84.75,84.00,,
gid://shopify/Product/8537264554294,PHARMA GERMANIA - Meadowsweet - 100g,gid://shopify/ProductVariant/45989930467638,62.56,62.00,,
gid://shopify/Product/8537267536182,PHARMA GERMANIA - Oak Straw - 50g,gid://shopify/ProductVariant/45989950980406,50.02,50.00,,
gid://shopify/Product/8537270452534,PHARMA GERMANIA - Orange Sweet Peel - 50g,gid://shopify/ProductVariant/45989971722550,50.02,50.00,,
gid://shopify/Product/8537272156470,PHARMA GERMANIA - Passion Flower Herb Cut - 75g,gid://shopify/ProductVariant/45989983486262,71.83,71.00,,
gid://shopify/Product/8537274941750,PHARMA GERMANIA - Veronica Speedwell - 75g,gid://shopify/ProductVariant/45989998854454,90.27,90.00,,
gid://shopify/Product/8537277595958,PHARMA GERMANIA - Willow Herb - 100g,gid://shopify/ProductVariant/45990014550326,98.54,98.00,,
gid://shopify/Product/8537280545078,PHARMA GERMANIA - Wild Chicory - 75g,gid://shopify/ProductVariant/45990030508342,55.20,55.00,,
gid://shopify/Product/8537366593846,PHARMA GERMANIA - Aloe Ferox Crystals - 50g,gid://shopify/ProductVariant/45990463832374,53.42,53.00,,
gid://shopify/Product/8537450709302,TERRANOVA - Magnesium 100 mg Complex - 50 Capsules,gid://shopify/ProductVariant/45991195640118,359.21,359.00,,
